MaxCarbonBudget,MinCarbonBudget,AVGCarbonBudget
8858087.508,385366.48400000005,4621726.995999999
10836897.959999999,476189.84699999995,5656543.903499999
8877609.728,385062.936,4631336.332
7103453.2579999985,313081.092,3708267.1749999993
5895595.404999999,266503.82499999995,3081049.6149999998
5547131.523,255654.315,2901392.919
5150606.955,222504.09,2686555.5225
5631618.02,259548.10000000003,2945583.0599999996
6021684.613,266106.17500000005,3143895.394
7705283.544,343382.571,4024333.0575
9966633.794999998,435144.555,5200889.174999999
12863450.86,558209.1440000001,6710830.001999999
14595854.704,641836.012,7618845.358
18058366.152000003,775188.3599999999,9416777.256000001
19887143.886999995,867841.064,10377492.475499997
20293752.942,883469.256,10588611.099000001
21157161.448,912125.9959999999,11034643.722
22568944.32,979206.48,11774075.4
23202350.62,1008547.1799999999,12105448.9
23868601.531999998,1030150.04,12449375.785999998
23800726.737999998,1028894.4199999999,12414810.579
24480994.5,1056503.25,12768748.875
24130240.577999998,1052623.8900000001,12591432.234
20975618.818,903490.882,10939554.85
15953493.974999998,687366.225,8320430.099999999
11150322.95,494885.25,5822604.1
9116168.425,400040.238,4758104.3315
5913251.9,265955.2,3089603.5500000003
5096607.048,227233.24,2661920.1440000003
4964651.534999999,228809.17500000002,2596730.3549999995
5576537.777999999,246434.55,2911486.1639999994
6621950.257999999,291859.092,3456904.675
9619838.759999998,422710.407,5021274.583499999
14975098.02,651594.24,7813346.13
19279822.575,835726.452,10057774.5135
22781250.059999995,981801.585,11881525.822499998
23616602.803999998,1031475.108,12324038.955999998
24739562.816999998,1077689.007,12908625.911999999
25982557.119999997,1116987.0159999998,13549772.067999998
24809989.694,1081650.381,12945820.0375
22601960.148000002,974074.743,11788017.445500001
21185342.819999997,920872.98,11053107.899999999
19837624.413000003,860055.861,10348840.137000002
19476871.44,845049.6600000001,10160960.55
19090996.974,826013.9580000001,9958505.466
18870309.637999997,827859.1,9849084.368999999
16679582.614,720974.837,8700278.7255
14629610.855999999,641149.838,7635380.346999999
10611181.031999998,466614.546,5538897.788999999
7394239.59,321978.30000000005,3858108.945
5142520.227999999,222609.108,2682564.6679999996
4044268.45,180928.46,2112598.455
3074132.626,141218.73500000002,1607675.6805
2840883.3599999994,123306.47,1482094.9149999998
3363320.6359999995,155007.58,1759164.1079999998
4996535.57,228080.255,2612307.9125
8369539.52,359267.2,4364403.359999999
11743611.429,515119.42500000005,6129365.427
15006217.647999998,659941.432,7833079.539999999
17844186.080000002,774227.9900000001,9309207.035
17320258.714,743514.7500000001,9031886.732
17918303.49,772736.058,9345519.773999998
17932188.064,778046.242,9355117.152999999
17114010.367999997,743819.4400000001,8928914.904
16016096.639999997,693548.872,8354822.755999998
15484710.114,674363.919,8079537.0165
14356253.483999997,617926.334,7487089.908999999
13570518.696,592337.844,7081428.2700000005
13466167.776,579168.192,7022667.984
13410465.512999998,585795.063,6998130.287999999
13497732.522,584009.074,7040870.798
11993062.452,521416.644,6257239.5479999995
9553719.549999999,415003.64,4984361.595
7130469.288,310492.56,3720480.9239999996
5387505.805000001,238921.87,2813213.8375000004
3576354.3899999997,165375.77999999997,1870865.0849999997
2782482.957,120155.47200000001,1451319.2145
2378793.034,107417.878,1243105.456
2578564.5299999993,115068.26999999999,1346816.3999999997
3341396.2120000003,147660.69999999998,1744528.4560000002
4278609.657,182935.176,2230772.4165
5630395.35,247311.525,2938853.4375
7893304.379999999,340501.98,4116903.1799999997
9999546.0,432296.55999999994,5215921.28
10833143.669999998,475622.19000000006,5654382.929999999
11891790.552000001,512678.00399999996,6202234.278000001
12995838.050999997,564494.4479999999,6780166.249499999
13624453.972,594692.058,7109573.015
15098195.259,649360.2779999999,7873777.7685
16639474.148999998,719943.4330000001,8679708.791
17190973.4,743079.7,8967026.549999999
18267136.513999995,801397.3,9534266.906999998
18997812.018,821982.106,9909897.061999999
21647331.0,934213.4999999999,11290772.25
21962334.839999996,958054.2,11460194.519999998
19704714.561,862874.754,10283794.6575
17281458.038,750664.97,9016061.503999999
13412665.665,595606.77,7004136.217499999
10432554.042,458243.283,5445398.6625
7230394.308999999,316513.438,3773453.8734999998
3950391.0819999995,187653.22799999997,2069022.1549999998
17468812.295,758827.0360000001,9113819.6655
17646932.49,766564.392,9206748.441
17863362.349999998,775965.8800000001,9319664.114999998
17588875.575,764042.4600000001,9176459.0175
17078606.634999998,741876.908,8910241.771499999
16713677.454999998,726024.764,8719851.109499998
16639822.739999998,722816.592,8681319.666
16776078.764999999,728735.412,8752407.088499999
17044246.419999998,740384.336,8892315.377999999
17261861.115,749837.292,9005849.203499999
16970786.65,737193.32,8853989.985
16486584.079999998,716160.064,8601372.071999999
16674182.954999998,724309.164,8699246.0595
16634293.509999998,722576.408,8678434.958999999
16374814.645,711304.916,8543059.7805
16293061.029999997,707753.6240000001,8500407.327
16233424.334999997,705163.068,8469293.701499999
16016994.475,695761.5800000001,8356378.0275
15672207.489999998,680784.392,8176495.941
15680106.389999997,681127.512,8180616.9509999985
15868100.209999997,689293.7679999999,8278696.988999998
15886267.68,690082.9440000001,8288175.312
16245272.684999999,705677.748,8475475.2165
17289507.265,751038.212,9020272.7385
