Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,Germany,Germany,DE,163.46,213.79,81.25,73.73,entsoe.eu,false,
2022-01-01 01:00:00,Germany,Germany,DE,166.67,218.02,80.81,72.83,entsoe.eu,false,
2022-01-01 02:00:00,Germany,Germany,DE,171.31,223.62,80.31,72.05,entsoe.eu,false,
2022-01-01 03:00:00,Germany,Germany,DE,176.88,230.22,79.61,70.79,entsoe.eu,false,
2022-01-01 04:00:00,Germany,Germany,DE,189.28,244.45,78.25,68.62,entsoe.eu,false,
2022-01-01 05:00:00,Germany,Germany,DE,194.23,249.8,77.81,67.96,entsoe.eu,false,
2022-01-01 06:00:00,Germany,Germany,DE,206.84,263.35,76.57,65.98,entsoe.eu,false,
2022-01-01 07:00:00,Germany,Germany,DE,217.47,276.03,75.24,63.58,entsoe.eu,false,
2022-01-01 08:00:00,Germany,Germany,DE,216.29,274.91,75.38,63.8,entsoe.eu,false,
2022-01-01 09:00:00,Germany,Germany,DE,205.7,264.42,76.32,64.16,entsoe.eu,false,
2022-01-01 10:00:00,Germany,Germany,DE,203.11,261.93,76.48,64.01,entsoe.eu,false,
2022-01-01 11:00:00,Germany,Germany,DE,210.58,269.89,76.15,64.44,entsoe.eu,false,
2022-01-01 12:00:00,Germany,Germany,DE,212.69,272.92,75.78,63.47,entsoe.eu,false,
2022-01-01 13:00:00,Germany,Germany,DE,242.45,302.66,73.96,60.98,entsoe.eu,false,
2022-01-01 14:00:00,Germany,Germany,DE,283.97,345.6,70.37,56.55,entsoe.eu,false,
2022-01-01 15:00:00,Germany,Germany,DE,306.02,365.81,69.73,56.84,entsoe.eu,false,
2022-01-01 16:00:00,Germany,Germany,DE,308.68,366.41,70.18,58.92,entsoe.eu,false,
2022-01-01 17:00:00,Germany,Germany,DE,309.0,365.65,70.76,61.71,entsoe.eu,false,
2022-01-01 18:00:00,Germany,Germany,DE,292.26,348.39,71.79,63.74,entsoe.eu,false,
2022-01-01 19:00:00,Germany,Germany,DE,263.51,319.21,73.51,65.47,entsoe.eu,false,
2022-01-01 20:00:00,Germany,Germany,DE,236.68,291.91,75.24,66.65,entsoe.eu,false,
2022-01-01 21:00:00,Germany,Germany,DE,227.69,282.57,76.0,67.92,entsoe.eu,false,
2022-01-01 22:00:00,Germany,Germany,DE,197.91,252.19,78.2,69.95,entsoe.eu,false,
2022-01-01 23:00:00,Germany,Germany,DE,174.86,228.63,79.79,70.93,entsoe.eu,false,
2022-01-02 00:00:00,Germany,Germany,DE,175.36,229.43,79.82,71.4,entsoe.eu,false,
2022-01-02 01:00:00,Germany,Germany,DE,173.7,228.04,79.86,70.61,entsoe.eu,false,
2022-01-02 02:00:00,Germany,Germany,DE,173.42,227.58,79.94,70.95,entsoe.eu,false,
2022-01-02 03:00:00,Germany,Germany,DE,176.33,231.05,79.32,69.16,entsoe.eu,false,
2022-01-02 04:00:00,Germany,Germany,DE,174.44,228.7,79.39,68.81,entsoe.eu,false,
2022-01-02 05:00:00,Germany,Germany,DE,173.13,227.23,79.53,69.15,entsoe.eu,false,
2022-01-02 06:00:00,Germany,Germany,DE,170.7,224.38,80.0,70.36,entsoe.eu,false,
2022-01-02 07:00:00,Germany,Germany,DE,162.34,214.05,81.29,72.08,entsoe.eu,false,
2022-01-02 08:00:00,Germany,Germany,DE,155.47,206.16,82.25,73.36,entsoe.eu,false,
2022-01-02 09:00:00,Germany,Germany,DE,147.23,196.35,83.38,75.68,entsoe.eu,false,
2022-01-02 10:00:00,Germany,Germany,DE,135.1,182.54,84.48,77.06,entsoe.eu,false,
2022-01-02 11:00:00,Germany,Germany,DE,131.42,177.44,84.94,78.24,entsoe.eu,false,
2022-01-02 12:00:00,Germany,Germany,DE,130.06,175.38,85.02,77.89,entsoe.eu,false,
2022-01-02 13:00:00,Germany,Germany,DE,129.63,174.41,85.06,77.83,entsoe.eu,false,
2022-01-02 14:00:00,Germany,Germany,DE,129.92,173.98,85.04,77.19,entsoe.eu,false,
2022-01-02 15:00:00,Germany,Germany,DE,129.04,172.51,85.17,77.01,entsoe.eu,false,
2022-01-02 16:00:00,Germany,Germany,DE,130.37,173.44,85.21,77.22,entsoe.eu,false,
2022-01-02 17:00:00,Germany,Germany,DE,131.75,174.65,85.36,78.11,entsoe.eu,false,
2022-01-02 18:00:00,Germany,Germany,DE,132.0,175.64,85.13,78.06,entsoe.eu,false,
2022-01-02 19:00:00,Germany,Germany,DE,133.12,177.28,84.87,77.82,entsoe.eu,false,
2022-01-02 20:00:00,Germany,Germany,DE,133.53,178.32,84.71,77.46,entsoe.eu,false,
2022-01-02 21:00:00,Germany,Germany,DE,139.72,186.01,83.86,76.54,entsoe.eu,false,
2022-01-02 22:00:00,Germany,Germany,DE,140.99,187.47,83.83,76.57,entsoe.eu,false,
2022-01-02 23:00:00,Germany,Germany,DE,145.47,192.31,83.26,75.81,entsoe.eu,false,
2022-01-03 00:00:00,Germany,Germany,DE,154.4,202.37,82.37,74.03,entsoe.eu,false,
2022-01-03 01:00:00,Germany,Germany,DE,154.4,202.84,82.31,74.11,entsoe.eu,false,
2022-01-03 02:00:00,Germany,Germany,DE,156.42,205.23,82.01,73.23,entsoe.eu,false,
2022-01-03 03:00:00,Germany,Germany,DE,155.35,203.36,82.18,74.08,entsoe.eu,false,
2022-01-03 04:00:00,Germany,Germany,DE,153.2,199.37,82.74,75.91,entsoe.eu,false,
2022-01-03 05:00:00,Germany,Germany,DE,159.53,204.02,82.12,76.43,entsoe.eu,false,
2022-01-03 06:00:00,Germany,Germany,DE,178.73,224.14,80.2,75.2,entsoe.eu,false,
2022-01-03 07:00:00,Germany,Germany,DE,208.83,255.75,77.48,72.14,entsoe.eu,false,
2022-01-03 08:00:00,Germany,Germany,DE,224.75,272.05,76.41,71.26,entsoe.eu,false,
2022-01-03 09:00:00,Germany,Germany,DE,226.46,274.31,76.02,71.51,entsoe.eu,false,
2022-01-03 10:00:00,Germany,Germany,DE,216.9,264.73,76.4,71.75,entsoe.eu,false,
2022-01-03 11:00:00,Germany,Germany,DE,214.98,262.42,76.69,71.5,entsoe.eu,false,
2022-01-03 12:00:00,Germany,Germany,DE,220.92,268.89,75.96,70.46,entsoe.eu,false,
2022-01-03 13:00:00,Germany,Germany,DE,231.91,281.17,74.8,69.07,entsoe.eu,false,
2022-01-03 14:00:00,Germany,Germany,DE,260.57,310.62,72.93,67.22,entsoe.eu,false,
2022-01-03 15:00:00,Germany,Germany,DE,280.01,330.1,71.98,66.23,entsoe.eu,false,
2022-01-03 16:00:00,Germany,Germany,DE,286.38,336.85,71.49,65.95,entsoe.eu,false,
2022-01-03 17:00:00,Germany,Germany,DE,287.81,339.29,70.7,65.1,entsoe.eu,false,
2022-01-03 18:00:00,Germany,Germany,DE,294.05,346.4,69.98,64.23,entsoe.eu,false,
2022-01-03 19:00:00,Germany,Germany,DE,306.26,360.29,68.44,62.42,entsoe.eu,false,
2022-01-03 20:00:00,Germany,Germany,DE,311.67,367.47,66.97,60.69,entsoe.eu,false,
2022-01-03 21:00:00,Germany,Germany,DE,322.74,379.54,66.11,59.48,entsoe.eu,false,
2022-01-03 22:00:00,Germany,Germany,DE,331.89,389.56,65.35,58.37,entsoe.eu,false,
2022-01-03 23:00:00,Germany,Germany,DE,347.22,405.87,64.18,57.08,entsoe.eu,false,
2022-01-04 00:00:00,Germany,Germany,DE,352.47,412.25,63.58,56.25,entsoe.eu,false,
2022-01-04 01:00:00,Germany,Germany,DE,351.98,412.87,63.46,55.17,entsoe.eu,false,
2022-01-04 02:00:00,Germany,Germany,DE,369.11,431.66,61.67,53.0,entsoe.eu,false,
2022-01-04 03:00:00,Germany,Germany,DE,399.6,464.83,58.44,49.19,entsoe.eu,false,
2022-01-04 04:00:00,Germany,Germany,DE,425.95,493.13,55.57,46.06,entsoe.eu,false,
2022-01-04 05:00:00,Germany,Germany,DE,451.98,521.32,52.21,43.64,entsoe.eu,false,
2022-01-04 06:00:00,Germany,Germany,DE,475.12,544.55,50.58,43.24,entsoe.eu,false,
2022-01-04 07:00:00,Germany,Germany,DE,480.67,550.45,50.06,43.25,entsoe.eu,false,
2022-01-04 08:00:00,Germany,Germany,DE,487.87,557.64,49.64,42.82,entsoe.eu,false,
2022-01-04 09:00:00,Germany,Germany,DE,480.41,549.35,50.49,43.97,entsoe.eu,false,
2022-01-04 10:00:00,Germany,Germany,DE,477.36,546.26,50.6,44.23,entsoe.eu,false,
