timestamp,de
01100,597756
01101,739626
01102,600948
01103,482841
01104,401370
01105,364903
01106,335357
01107,373561
01108,416734
01109,560225
01110,776550
01111,1016678
01112,1175233
01113,1324152
01114,1360504
01115,1389137
01116,1494369
01117,1634940
01118,1736571
01119,1755895
01120,1750117
01121,1771430
01122,1702136
01123,1508604
01200,1143378
01201,817428
01202,684455
01203,471017
01204,385635
01205,367585
01206,406981
01207,480145
01208,735393
01209,1199540
01210,1576920
01211,1856903
01212,1888563
01213,1978032
01214,2042515
01215,1971657
01216,1849763
01217,1734264
01218,1638784
01219,1634484
01220,1666172
01221,1691665
01222,1675084
01223,1520225
01300,1171577
01301,854857
01302,613507
01303,489441
01304,374883
01305,332004
01306,366591
01307,536930
01308,882941
01309,1262169
01310,1605202
01311,1826578
01312,1777445
01313,1845779
01314,1830703
01315,1742087
01316,1654221
01317,1646651
01318,1583663
01319,1559113
01320,1590780
01321,1620156
01322,1666503
01323,1537045
01400,1209532
01401,853263
01402,638826
01403,447729
01404,350515
01405,305709
01406,329326
01407,416355
01408,529947
01409,746092
01410,1055267
01411,1322489
01412,1440240
01413,1495453
01414,1549984
01415,1557513
01416,1593882
01417,1662740
01418,1672208
01419,1694544
01420,1663796
01421,1763783
01422,1702906
01423,1524610
01500,1285215
01501,980213
01502,742127
01503,510098
01504,267286
01505,0
01506,0
01507,0
01508,0
01509,0
01510,0
01511,0
01512,0
01513,0
01514,0
01515,0
01516,0
01517,0
01518,0
01519,0
01520,0
01521,0
01522,0
01523,0
01600,0
01601,0
01602,0
01603,0
01604,0
01605,0
01606,0
01607,0
01608,0
01609,0
01610,0
01611,0
01612,0
01613,0
01614,0
01615,0
01616,0
01617,1641579
01618,2052221
01619,2040749
01620,2144203
01621,2128437
01622,1881508
01623,1391788
01700,1020175
01701,732616
01702,565903
01703,454909
01704,410082
01705,378111
01706,493698
01707,782660
01708,1247290
01709,1586036
01710,1865439
01711,2001855
01712,2005604
01713,2153979
01714,2348905
01715,2319673
01716,2223310
01717,2036996
01718,1892056
01719,1900958
01720,2025115
01721,2059465
01722,1778298
01723,1380485
01800,954623
01801,644590
01802,518913
01803,378191
01804,368376
01805,343942
01806,441619
01807,742383
01808,1273110
01809,1571739
01810,1892538
01811,1938640
01812,1958934
01813,2060919
01814,2259457
01815,2232946
01816,2162611
01817,2012213
01818,1859283
01819,1826390
01820,1945232
01821,1958735
01822,1710097
01823,1290237
01900,927878
01901,639480
01902,505355
01903,432928
01904,363522
01905,378435
01906,485761
01907,848685
01908,1357556
01909,1653161
01910,1907230
01911,2035542
01912,1992891
01913,2052418
01914,2251608
01915,2238374
01916,2171281
01917,2004940
01918,1828096
01919,1836474
01920,1924894
01921,1947363
01922,1734534
01923,1321740
011000,907162
011001,661498
011002,495077
011003,407689
011004,332324
011005,311658
011006,442401
011007,811169
011008,1306252
011009,1570017
011010,1856671
011011,1986431
011012,1874147
011013,1879181
011014,1957971
011015,1896764
011016,1784614
011017,1710270
011018,1582830
011019,1573595
011020,1659207
011021,2179887
011022,1703587
011023,1316923
011100,1008211
011101,737042
011102,510003
011103,389259
011104,344554
011105,389532
011106,358223
011107,447570
011108,595504
011109,840458
011110,1136492
011111,1355209
011112,1455637
011113,1535250
011114,1612431
011115,1670711
011116,1747095
011117,1827903
011118,1780298
011119,1736646
011120,1645295
011121,1679397
011122,1676786
011123,1471998
011200,1165871
011201,881142
011202,632148
011203,480070
011204,458017
011205,359924
011206,322599
011207,397877
011208,566711
011209,922944
011210,1368182
011211,1679606
011212,1818220
011213,1867240
011214,1946012
011215,2009383
011216,2136571
011217,2259708
011218,2240661
011219,2274454
011220,2299192
011221,2248895
011222,2012576
011223,1490763
011300,1012348
011301,703754
011302,582226
011303,440045
011304,385798
011305,340166
011306,451333
011307,808514
011308,1334025
011309,1685083
011310,1999974
011311,2139806
011312,2165107
011313,2219759
011314,2421211
011315,2380877
011316,2267908
011317,2129066
011318,1951305
011319,2039551
011320,2183702
011321,2058601
011322,1814767
011323,1322410
011400,909410
011401,626737
011402,472036
011403,361491
011404,365447
011405,338632
011406,459878
011407,796750
011408,1352111
011409,1712311
011410,1932130
011411,2048512
011412,2075721
011413,2164401
011414,2324036
011415,2338747
011416,2219504
011417,2102805
011418,1967313
011419,1929570
011420,2000331
011421,1975749
011422,1717600
011423,1292599
011500,903888
011501,638655
011502,496003
011503,442737
011504,360710
011505,375455
011506,460649
011507,769316
011508,1331528
011509,1654561
011510,1975471
011511,2069622
011512,2077239
011513,2122411
011514,2328539
011515,2311920
011516,2207192
011517,2055205
011518,1894597
011519,1884606
011520,1986621
011521,1971704
011522,1742472
011523,1301411
011600,917546
011601,670584
011602,524780
011603,409467
011604,387018
011605,342026
011606,469591
011607,796917
011608,1335886
011609,1695666
011610,1999208
011611,2112936
011612,2057140
011613,2077023
011614,2281967
011615,2264183
011616,2174536
011617,2021216
011618,1849171
011619,1902747
011620,1980291
011621,1955310
011622,1731193
011623,1305403
011700,912544
011701,621298
011702,473738
011703,398315
011704,371082
011705,398448
011706,511848
011707,834152
011708,1371785
011709,1667909
011710,1928702
011711,1997542
011712,1912160
011713,1873440
011714,1959456
011715,1868008
011716,1755248
011717,1677510
011718,1558282
011719,1587652
011720,1671805
011721,1672719
011722,1556821
011723,1319747
011800,1009591
011801,785786
011802,590240
011803,463662
011804,378479
011805,417076
011806,416897
011807,472889
011808,664523
011809,903102
011810,1178882
011811,1378334
011812,1436817
011813,1524672
011814,1601469
011815,1609043
011816,1654972
011817,1712143
011818,1701925
011819,1667233
011820,1681515
011821,1703168
011822,1721870
011823,1438326
011900,1115120
011901,815057
011902,583571
011903,453188
011904,391495
011905,353829
011906,330538
011907,429469
011908,602980
011909,913649
011910,1395422
011911,1752717
011912,1910149
011913,2010285
011914,2016158
011915,2033380
011916,2147873
011917,2254207
011918,2166003
011919,2202270
011920,2247196
011921,2209611
011922,1947764
011923,1503431
012000,1031259
012001,705127
012002,491213
012003,412668
012004,428496
012005,364568
012006,482020
012007,813913
012008,1326445
012009,1682205
012010,2045479
012011,2214132
012012,2226573
012013,2263343
012014,2451166
012015,2464448
012016,2327820
012017,2197785
012018,2033297
012019,2010757
012020,2189862
012021,2145441
012022,1808094
012023,1364810
012100,913674
012101,614145
012102,504445
012103,432190
012104,419013
012105,422684
012106,506260
012107,839736
012108,1392299
012109,1753076
012110,2027852
012111,2102318
012112,2092319
012113,2143630
012114,2342742
012115,2364821
012116,2216603
012117,2079248
012118,1906596
012119,1907551
012120,1980480
012121,2022592
012122,1714083
