timestamp,De
01100000,464447
01110000,593810
01120000,543454
01130000,539979
01140000,404313
01150000,392909
01160000,339770
01170000,352344
01180000,392735
01190000,528851
011100000,671324
011110000,894096
011120000,1026822
011130000,1104315
011140000,1152038
011150000,1210713
011160000,1293953
011170000,1437575
011180000,1476416
011190000,1518428
011200000,1431603
011210000,1425239
011220000,1420231
011230000,1215256
01200000,965828
01210000,722731
01220000,541367
01230000,427927
01240000,355724
01250000,330692
01260000,343352
01270000,432263
01280000,631817
01290000,859600
012100000,1169434
012110000,1390736
012120000,1436972
012130000,1523046
012140000,1596083
012150000,1540697
012160000,1520448
012170000,1529791
012180000,1476180
012190000,1468374
012200000,1454318
012210000,1374289
012220000,1455094
012230000,1288182
01300000,1055469
01310000,781223
01320000,572177
01330000,447190
01340000,355872
01350000,329584
01360000,337106
01370000,360482
01380000,470252
01390000,654665
013100000,883242
013110000,1118745
013120000,1250459
013130000,1349424
013140000,1400519
013150000,1452457
013160000,1500377
013170000,1570553
013180000,1496647
013190000,1430096
013200000,1391884
013210000,1438510
013220000,1418460
013230000,1264959
01400000,1050987
01410000,784081
01420000,569099
01430000,430729
01440000,359847
01450000,303001
01460000,304757
01470000,329934
01480000,432529
01490000,655092
014100000,988455
014110000,1286581
014120000,1415758
014130000,1515548
014140000,1585498
014150000,1616080
014160000,1625931
014170000,1764573
014180000,1722369
014190000,1688333
014200000,1606086
014210000,1612342
014220000,1513286
014230000,1249483
01500000,953967
01510000,706074
01520000,515584
01530000,401115
01540000,351399
01550000,331484
01560000,385699
01570000,546309
01580000,834071
01590000,1202652
015100000,1547869
015110000,1807462
015120000,1782072
015130000,1969567
015140000,2064035
015150000,2077959
015160000,1932570
015170000,1814471
015180000,1657468
015190000,1571384
015200000,1590378
015210000,1709834
015220000,1602991
015230000,1236302
01600000,921027
01610000,705488
01620000,568359
01630000,463842
01640000,445224
01650000,447314
01660000,488282
01670000,637658
01680000,948458
01690000,1319729
016100000,1703974
016110000,1904596
016120000,1853875
016130000,1938946
016140000,2028764
016150000,2011406
016160000,1976498
016170000,1848101
016180000,1697635
016190000,1714289
016200000,1726100
016210000,1687241
016220000,1486871
016230000,1153892
01700000,825482
01710000,587177
01720000,454118
01730000,389384
01740000,338034
01750000,329790
01760000,402265
01770000,648129
01780000,1106546
01790000,1431937
017100000,1807659
017110000,1876599
017120000,1874727
017130000,1937264
017140000,2039489
017150000,2205516
017160000,1929453
017170000,1737067
017180000,1565233
017190000,1652264
017200000,1876446
017210000,1821025
017220000,1390076
017230000,1081773
01800000,756865
01810000,546857
01820000,401998
01830000,338818
01840000,305876
01850000,284617
01860000,390898
01870000,662272
01880000,1165080
01890000,1462436
018100000,1808250
018110000,1953444
018120000,1890238
018130000,1874046
018140000,2029763
018150000,2011050
018160000,1882023
018170000,1725027
018180000,1573053
018190000,1504895
018200000,1527628
018210000,1515279
018220000,1380094
018230000,1094020
01900000,774531
01910000,552976
01920000,432147
01930000,338957
01940000,329024
01950000,321746
01960000,409329
01970000,705985
01980000,1301940
01990000,1535845
019100000,1795924
019110000,1853865
019120000,1874217
019130000,1824630
019140000,1863576
019150000,1771661
019160000,1626793
019170000,1460978
019180000,1320349
019190000,1262752
019200000,1297286
019210000,1389872
019220000,1334646
019230000,1153472
011000000,979444
011010000,835063
011020000,659148
011030000,493864
011040000,460448
011050000,429638
011060000,419917
011070000,480121
