ds,y
2020-01-01 00:00:00,3292633
2020-01-01 01:00:00,3299951
2020-01-01 02:00:00,3076158
2020-01-01 03:00:00,3071088
2020-01-01 04:00:00,3029548
2020-01-01 05:00:00,2975663
2020-01-01 06:00:00,3082191
2020-01-01 07:00:00,3015330
2020-01-01 08:00:00,3085008
2020-01-01 09:00:00,2875156
2020-01-01 10:00:00,2852584
2020-01-01 11:00:00,2870507
2020-01-01 12:00:00,3059009
2020-01-01 13:00:00,3078876
2020-01-01 14:00:00,3266506
2020-01-01 15:00:00,3501248
2020-01-01 16:00:00,3793311
2020-01-01 17:00:00,3952045
2020-01-01 18:00:00,4128113
2020-01-01 19:00:00,4244294
2020-01-01 20:00:00,4175623
2020-01-01 21:00:00,4273267
2020-01-01 22:00:00,4205747
2020-01-01 23:00:00,4155988
2020-01-02 00:00:00,3930073
2020-01-02 01:00:00,3855895
2020-01-02 02:00:00,3885657
2020-01-02 03:00:00,3842004
2020-01-02 04:00:00,3628695
2020-01-02 05:00:00,3705270
2020-01-02 06:00:00,3708434
2020-01-02 07:00:00,3563748
2020-01-02 08:00:00,3563748
2020-01-02 09:00:00,3660921
2020-01-02 10:00:00,3846501
2020-01-02 11:00:00,3846501
2020-01-02 12:00:00,3999368
2020-01-02 13:00:00,4224533
2020-01-02 14:00:00,4664505
2020-01-02 15:00:00,5038753
2020-01-02 16:00:00,5497917
2020-01-02 17:00:00,5421095
2020-01-02 18:00:00,5344783
2020-01-02 19:00:00,5418704
2020-01-02 20:00:00,5404550
2020-01-02 21:00:00,5351053
2020-01-02 22:00:00,5301710
2020-01-02 23:00:00,4797103
2020-01-03 00:00:00,4378297
2020-01-03 01:00:00,4216163
2020-01-03 02:00:00,4075227
2020-01-03 03:00:00,4028364
2020-01-03 04:00:00,3969376
2020-01-03 05:00:00,3947794
2020-01-03 06:00:00,3586401
2020-01-03 07:00:00,3505967
2020-01-03 08:00:00,3467776
2020-01-03 09:00:00,3575295
2020-01-03 10:00:00,3816212
2020-01-03 11:00:00,3752535
2020-01-03 12:00:00,4020392
2020-01-03 13:00:00,4132326
2020-01-03 14:00:00,4459505
2020-01-03 15:00:00,5129708
2020-01-03 16:00:00,5432582
2020-01-03 17:00:00,5502624
2020-01-03 18:00:00,5325625
2020-01-03 19:00:00,5217989
