q,user-throughput,QoE,total rev,rev in percentage,ed,eb,U,ce,Objective
77591.6769375,36037221578.591064,0.4,0,0,2592.9,965.6855710920665,464447,1034722.674,-1
99203.383125,58907960933.456245,0.4,0,0,3326.3,1180.470133121793,593810,1341796.1570000001,-1
90790.78387500001,49340614660.00426,0.4,0,0,3051.5,937.6456424866681,543454,1253159.5050000001,-1
90210.2416875,48711636096.17457,0.4,0,0,3038.5,761.6988832931903,539979,1248914.655,-1
67545.54056250001,27309540141.446068,0.4,0,0,2292.1,635.9562473154201,404313,960527.426,-1
65640.35981250001,25790688133.56957,0.4,0,0,2213.2,602.5603728669747,392909,939016.4959999998,-1
56762.825625,19286305262.60625,0.4,0,0,1925.4,527.4983760460871,339770,812152.974,-1
58863.46950000001,20740190297.508003,0.4,0,0,1977.4,616.6942286216647,352344,832228.3380000001,-1
65611.2909375,25767850346.33906,0.4,0,0,2213.2,648.53327890427,392735,908120.2239999999,-1
88351.17018750001,46724604704.82957,0.4,0,0,2959.6,870.4027046209221,528851,1167591.7959999999,-1
112153.06575000001,75291044711.55301,0.4,0,0,3784.8999999999996,1129.834748403178,671324,1457716.3859999997,-1
149369.913,133551041733.648,0.4,0,0,5015.9,1464.0399286613515,894096,1912462.3519999997,-1
171543.45037500001,176144588800.95825,0.4,0,0,5762.3,1666.4139889915878,1026822,2219407.4680000003,-1
184489.6246875,203734659886.77658,0.4,0,0,6168.0,1960.4176824642147,1104315,2438950.56,-1
192462.348375,221723938897.23825,0.4,0,0,6429.799999999999,2125.810954340584,1152038,2624901.5519999997,-1
202264.74056250002,244884550840.6461,0.4,0,0,6770.5,2161.551321197886,1210713,2767238.7600000002,-1
216171.0230625,279715143804.7911,0.4,0,0,7242.1,2248.443306135529,1293953,2937902.7070000004,-1
240164.87343749998,345255017931.914,0.4,0,0,8027.5,2431.421746579594,1437575,3232915.075,-1
246653.74800000002,364163540007.168,0.4,0,0,8250.3,2514.9548152211864,1476416,3308535.3059999994,-1
253672.37774999999,385183241202.177,0.4,0,0,8486.1,2567.4800986965083,1518428,3404877.9030000004,-1
239167.1761875,342392446931.5536,0.4,0,0,8001.5,2596.906663301363,1431603,3170194.3,-1
238103.9904375,339355093227.15204,0.4,0,0,7988.5,2713.2264567657107,1425239,3110642.0149999997,-1
237267.34143750003,336974433597.12213,0.4,0,0,7922.6,2710.8521503991756,1420231,3076345.58,-1
203023.70550000004,246725776251.10806,0.4,0,0,6796.5,2315.6339082963837,1215256,2651790.4050000003,-1
161353.64025,155839863655.37698,0.4,0,0,5408.6,1764.7399871630294,965828,2106649.7,-1
120741.2476875,87263442682.43456,0.4,0,0,4059.7,1280.7920753642693,722731,1568627.4829999998,-1
90442.1244375,48962381580.35606,0.4,0,0,3051.5,1035.64925570197,541367,1178702.905,-1
71490.5544375,30592738488.776062,0.4,0,0,2423.0,679.2195321278987,427927,948749.88,-1
59428.140750000006,21140015940.153004,0.4,0,0,2043.3,567.9837028520009,355724,817463.031,-1
55246.23225,18269487035.217,0.4,0,0,1859.5,560.4771090534979,330692,759122.28,-1
57361.2435,19695097678.211998,0.4,0,0,1938.4,588.767560206422,343352,811336.704,-1
72214.93743749999,31215845501.54606,0.4,0,0,2436.0,680.5463134822553,432263,1044702.9600000001,-1
105552.9275625,66690134033.756065,0.4,0,0,3549.1,984.2376990779547,631817,1524267.468,-1
143606.925,123444512729.99998,0.4,0,0,4806.1,1522.0252738782087,859600,2057539.4710000001,-1
195368.56762500003,228470645511.97427,0.4,0,0,6534.7,1958.030204770161,1169434,2789140.654,-1
232339.833,323123369987.088,0.4,0,0,7778.7,2308.437574945334,1390736,3308358.897,-1
240064.13475000003,344965439839.97705,0.4,0,0,8027.5,2388.226691363742,1436972,3467077.25,-1
254443.872375,387529722045.2543,0.4,0,0,8512.1,2448.6253908025083,1523046,3746345.452,-1
266645.6161875,425588535021.39355,0.4,0,0,8904.8,2491.328239098918,1596083,3992467.08,-1
257392.69256250001,396564149252.96606,0.4,0,0,8617.0,2412.8901155527797,1540697,3862828.76,-1
254009.84399999998,386208759290.112,0.4,0,0,8499.1,2225.591754061279,1520448,3719801.097,-1
255570.70893750002,390969770396.2071,0.4,0,0,8525.1,2149.663803165414,1529791,3651982.338,-1
246614.32124999998,364047128742.82495,0.4,0,0,8250.3,2027.3816911036727,1476180,3499942.266,-1
245310.23137500003,360207165685.0343,0.4,0,0,8224.3,2001.3965374322054,1468374,3472546.189,-1
242962.000875,353344011188.52826,0.4,0,0,8119.4,1980.4213910666765,1454318,3386520.5459999996,-1
229592.15606250003,315525974562.9771,0.4,0,0,7660.799999999999,2045.3591105620753,1374289,3100708.8,-1
243091.64137500004,353721188814.9143,0.4,0,0,8132.4,1875.0971053315996,1455094,3126907.8,-1
215206.905375,277225661779.77826,0.4,0,0,7176.2,1773.6799767621997,1288182,2594052.776,-1
176329.2898125,186110099189.10956,0.4,0,0,5906.2,1345.020598408855,1055469,2048978.904,-1
130513.06743750002,101959810082.72607,0.4,0,0,4400.4,980.5649287367524,781223,1444915.344,-1
95589.3200625,54694010385.40106,0.4,0,0,3208.3999999999996,713.4449971155695,572177,1001084.9679999999,-1
74708.67937499999,33408974329.706245,0.4,0,0,2540.9,614.6920568050554,447190,747888.5059999999,-1
59452.865999999995,21157610329.151997,0.4,0,0,2043.3,503.81282554406,355872,572736.99,-1
55061.12700000001,18147266481.168003,0.4,0,0,1846.5,450.5004201527164,329584,505405.51499999996,-1
56317.771125,18985058552.86425,0.4,0,0,1925.4,563.8689705347399,337106,529292.46,-1
60223.024124999996,21709316182.62825,0.4,0,0,2056.3,799.1039695886764,360482,586909.1460000001,-1
78561.47475,36943690624.13699,0.4,0,0,2671.8,1233.662523178353,470252,778081.5960000001,-1
109369.9715625,71600692432.96407,0.4,0,0,3667.0,1774.3160133645636,654665,1064603.44,-1
147556.61662500002,130328201181.09827,0.4,0,0,4937.0,2254.3602924096467,883242,1445257.3800000001,-1
186900.33656250002,209093817027.61407,0.4,0,0,6259.9,2636.0287017806686,1118745,1838595.2289999998,-1
