Energy demand,QoE,Revenue per user,Revenue,Revenue in percentage
60164.399999999994,1,2.2,869862.7862999999,1
76918.1,1,2.2,1112146.749,1
70585.69999999998,1,2.2,1017834.9966,1
69974.9,1,2.2,1011326.6690999999,1
52464.7,1,2.2,757237.8176999999,1
51057.5,1,2.2,735879.2661,1
44114.29999999999,1,2.2,636355.2329999999,1
45826.899999999994,1,2.2,659905.0776000001,1
51057.5,1,2.2,735553.3815,1
68567.7,1,2.2,990485.0379,1
87034.0,1,2.2,1257322.7196,1
115709.0,1,2.2,1674552.3983999998,1
132860.9,1,2.2,1923134.9238,1
142671.4,1,2.2,2068271.5635,1
149269.3,1,2.2,2157651.9702,1
156650.59999999998,1,2.2,2267544.3776999996,1
167470.09999999998,1,2.2,2423444.5737,1
185989.3,1,2.2,2692434.2175,1
190914.5,1,2.2,2765179.5264000003,1
196503.4,1,2.2,2843863.8012,1
185285.69999999998,1,2.2,2681249.2587,1
184582.09999999998,1,2.2,2669330.1231,1
183878.5,1,2.2,2659950.6399000003,1
157314.3,1,2.2,2276052.9624,1
125161.19999999998,1,2.2,1808899.2612,1
93724.7,1,2.2,1353602.8899,1
70280.29999999999,1,2.2,1013926.2542999999,1
55637.399999999994,1,2.2,801464.4783,1
46490.6,1,2.2,666235.4796,1
43012.5,1,2.2,619353.0467999999,1
44725.09999999999,1,2.2,643063.9607999999,1
56248.2,1,2.2,809585.3727,1
81843.29999999999,1,2.2,1183330.0593,1
111181.99999999999,1,2.2,1609944.84,1
151074.69999999998,1,2.2,2190232.9386,1
180055.09999999998,1,2.2,2604709.4544,1
185989.3,1,2.2,2691304.8588,1
196901.59999999998,1,2.2,2852512.8534000004,1
206619.3,1,2.2,2989303.8507,1
199317.8,1,2.2,2885571.4113000003,1
196808.8,1,2.2,2847647.0591999996,1
197605.19999999998,1,2.2,2865145.5639000004,1
190914.5,1,2.2,2764737.522,1
189905.5,1,2.2,2750117.6646,1
188100.09999999998,1,2.2,2723792.1821999997,1
177678.8,1,2.2,2573905.8681,1
188405.5,1,2.2,2725245.5526,1
166766.5,1,2.2,2412636.0678000003,1
136684.3,1,2.2,1976787.8900999997,1
101371.5,1,2.2,1463152.5567,1
74103.7,1,2.2,1071630.3033,1
58053.59999999999,1,2.2,837542.1509999998,1
46490.6,1,2.2,666512.6688,1
42707.09999999999,1,2.2,617277.8736,1
44021.5,1,2.2,631365.8274,1
47141.299999999996,1,2.2,675146.7378,1
61173.4,1,2.2,880734.9707999999,1
84617.79999999999,1,2.2,1226122.0784999998,1
114341.7,1,2.2,1654223.9418000001,1
144782.19999999998,1,2.2,2095297.5105,1
161894.19999999998,1,2.2,2341984.6611,1
174466.19999999998,1,2.2,2527336.2095999997,1
181462.3,1,2.2,2623032.0351,1
187794.7,1,2.2,2720306.7153000003,1
194087.19999999998,1,2.2,2810056.0832999996,1
203141.2,1,2.2,2941488.7136999997,1
193689.0,1,2.2,2803070.1663,1
