q,user-throughput,ed,QoE,Revenue per user,Revenue,Revenue in percentage,eb,U,ce
0.1670625,77591.6769375,2592.9,0.24000000000000002,0,0.0,0.0,11581.53409512354,464447,1034722.674
0.1670625,99203.38312500001,3326.3,0.24000000000000002,0,0.0,0.0,14022.518910979448,593810,1341796.1570000001
0.1670625,90790.78387500001,3051.5,0.24000000000000002,0,0.0,0.0,11277.513166289235,543454,1253159.5050000001
0.1670625,90210.2416875,3038.5,0.24000000000000002,0,0.0,0.0,9021.88933897769,539979,1248914.655
0.1670625,67545.5405625,2292.1,0.24000000000000002,0,0.0,0.0,7352.287536390971,404313,960527.426
0.1670625,65640.3598125,2213.2,0.24000000000000002,0,0.0,0.0,6838.391908645235,392909,939016.4959999998
0.1670625,56762.825625,1925.4,0.24000000000000002,0,0.0,0.0,6369.112924065337,339770,812152.974
0.1670625,58863.4695,1977.4,0.24000000000000002,0,0.0,0.0,6998.795495045976,352344,832228.3380000001
0.1670625,65611.2909375,2213.2,0.24000000000000002,0,0.0,0.0,7662.057403977384,392735,908120.2239999999
0.1670625,88351.1701875,2959.6,0.24000000000000002,0,0.0,0.0,10200.839161237993,528851,1167591.7959999999
0.1670625,112153.06575000001,3784.8999999999996,0.24000000000000002,0,0.0,0.0,13503.892545567844,671324,1457716.3859999997
0.1670625,149369.913,5015.9,0.24000000000000002,0,0.0,0.0,17600.792074066303,894096,1912462.3519999997
0.1670625,171543.45037500001,5762.3,0.24000000000000002,0,0.0,0.0,19780.988051718767,1026822,2219407.4680000003
0.1670625,184489.6246875,6168.0,0.24000000000000002,0,0.0,0.0,23814.62054524303,1104315,2438950.56
0.1670625,192462.348375,6429.799999999999,0.24000000000000002,0,0.0,0.0,25420.077590388,1152038,2624901.5519999997
0.1670625,202264.7405625,6770.5,0.24000000000000002,0,0.0,0.0,25906.7603714034,1210713,2767238.7600000002
0.1670625,216171.0230625,7242.1,0.24000000000000002,0,0.0,0.0,27201.03463899228,1293953,2937902.7070000004
0.1670625,240164.8734375,8027.5,0.24000000000000002,0,0.0,0.0,29235.655153576838,1437575,3232915.075
0.1670625,246653.748,8250.3,0.24000000000000002,0,0.0,0.0,30186.64630193008,1476416,3308535.3059999994
